time(s);mPow_size
3.57628e-07;4
5.28991e-07;4
8.79169e-07;4
6.48201e-07;4
6.03497e-07;4
2.43634e-06;5
3.23355e-06;5
1.49757e-06;5
3.21865e-06;5
3.13669e-06;5
2.10106e-06;6
8.84384e-06;6
8.73953e-06;6
8.64267e-06;6
8.50856e-06;6
3.18289e-05;7
3.32668e-05;7
9.55164e-06;7
3.14489e-05;7
3.22908e-05;7
0.00013423;8
0.000153571;8
0.000142418;8
0.000144258;8
0.000153169;8
0.000455178;9
0.00119633;9
0.00105983;9
0.000793248;9
0.00055515;9
0.00152922;10
0.00179815;10
0.00215665;10
0.0021496;10
0.00225436;10
0.0251152;11
0.0256299;11
0.0257417;11
0.024823;11
0.0250535;11
0.120575;12
0.122942;12
0.111557;12
0.110863;12
0.110954;12
