time(s);mPow_size
1.09524e-06;4
9.90927e-07;4
1.05426e-06;4
9.53674e-07;4
9.49949e-07;4
4.65661e-06;5
3.83705e-06;5
3.78862e-06;5
3.79235e-06;5
3.76627e-06;5
1.36346e-05;6
1.32881e-05;6
1.32881e-05;6
2.12044e-05;6
1.32509e-05;6
2.4911e-05;7
5.49927e-05;7
5.49071e-05;7
5.47916e-05;7
5.50188e-05;7
0.000114359;8
0.000220168;8
0.000217855;8
0.000217631;8
0.000109095;8
0.000466194;9
0.000462051;9
0.000454336;9
0.000457872;9
0.000834484;9
0.00183086;10
0.00200094;10
0.0022833;10
0.00182455;10
0.003254;10
0.0211716;11
0.0217658;11
0.0209917;11
0.0209819;11
0.0246098;11
0.106459;12
0.113956;12
0.0985445;12
0.0985251;12
0.0977672;12
