n_threads;time(s);mPow_size
1;3.06219e-06;4
1;1.04308e-05;4
1;3.11434e-06;4
1;1.02744e-05;4
1;1.0021e-05;4
2;1.32099e-05;4
2;1.23307e-05;4
2;1.20699e-05;4
2;8.2776e-06;4
2;9.48459e-06;4
4;1.54898e-05;4
4;1.55866e-05;4
4;1.59442e-05;4
4;1.3046e-05;4
4;1.6816e-05;4
8;1.47e-05;4
8;1.34781e-05;4
8;1.3724e-05;4
8;1.18837e-05;4
8;1.13994e-05;4
16;1.28299e-05;4
16;1.54674e-05;4
16;1.37538e-05;4
16;1.31801e-05;4
16;1.15186e-05;4
32;1.56313e-05;4
32;1.42008e-05;4
32;1.47149e-05;4
32;1.62646e-05;4
32;1.42977e-05;4
64;2.44528e-05;4
64;2.07126e-05;4
64;2.45646e-05;4
64;1.97068e-05;4
64;2.09957e-05;4
96;0.00950102;4
96;0.00483411;4
96;0.00439068;4
96;3.58447e-05;4
96;3.57851e-05;4
1;1.09896e-05;5
1;1.09673e-05;5
1;1.08704e-05;5
1;3.25888e-05;5
1;3.28571e-05;5
2;3.52561e-05;5
2;3.49283e-05;5
2;3.62098e-05;5
2;3.90261e-05;5
2;4.0561e-05;5
4;4.68269e-05;5
4;5.4732e-05;5
4;4.88013e-05;5
4;4.12092e-05;5
4;3.36394e-05;5
8;2.94074e-05;5
8;3.39448e-05;5
8;3.73051e-05;5
8;3.47868e-05;5
8;3.38331e-05;5
16;3.01972e-05;5
16;2.72766e-05;5
16;2.27019e-05;5
16;3.13446e-05;5
16;3.07634e-05;5
32;2.94372e-05;5
32;2.98545e-05;5
32;2.93851e-05;5
32;2.94149e-05;5
32;2.79173e-05;5
64;2.93627e-05;5
64;2.97502e-05;5
64;2.67774e-05;5
64;2.78279e-05;5
64;2.76566e-05;5
96;0.00954171;5
96;0.00897686;5
96;0.00893835;5
96;0.00897415;5
96;0.00481512;5
1;0.000132158;6
1;0.000120543;6
1;0.000120766;6
1;0.000120789;6
1;0.000120699;6
2;0.000110961;6
2;0.000110671;6
2;0.000115491;6
