time(s);mPow_size
2.39909e-06;4
8.17329e-06;4
7.82311e-06;4
7.68155e-06;4
7.86781e-06;4
9.81987e-06;5
9.80496e-06;5
9.6187e-06;5
9.58145e-06;5
2.88039e-05;5
3.80203e-05;6
0.000112489;6
0.000111975;6
0.000112057;6
0.000123575;6
0.000149779;7
0.000445172;7
0.000443898;7
0.000147983;7
0.000148028;7
0.000500366;8
0.00131968;8
0.000599615;8
0.00109579;8
0.000615552;8
0.00220606;9
0.00235777;9
0.00252872;9
0.0022867;9
0.00262878;9
0.00990218;10
0.0102471;10
0.00944124;10
0.0101646;10
0.0102516;10
0.0476614;11
0.0466436;11
0.0449813;11
0.0444728;11
0.0446278;11
0.250813;12
0.24052;12
0.239444;12
0.238823;12
0.23889;12
