time(s);mPow_size
1.49012e-06;4
1.37836e-06;4
1.27405e-06;4
6.18398e-07;4
1.93715e-07;4
3.32296e-06;5
3.12924e-06;5
3.07709e-06;5
2.65986e-06;5
7.30157e-07;5
2.92063e-06;6
9.69321e-06;6
9.43244e-06;6
2.81632e-06;6
9.28342e-06;6
1.05575e-05;7
1.05202e-05;7
1.03563e-05;7
1.04159e-05;7
1.04681e-05;7
9.31099e-05;8
0.000138618;8
4.33475e-05;8
0.000149503;8
0.000138544;8
0.00019519;9
0.000195406;9
0.000469036;9
0.000550009;9
0.000606276;9
0.000926062;10
0.00092379;10
0.000896744;10
0.000912257;10
0.000920042;10
0.00714719;11
0.00693845;11
0.00688816;11
0.00686651;11
0.00684974;11
0.0509185;12
0.0505018;12
0.0504017;12
0.0504157;12
0.0503104;12
