time(s);mPow_size
4.61936e-07;4
3.12924e-07;4
2.6077e-07;4
1.93715e-07;4
1.56462e-07;4
3.20375e-06;5
1.99676e-06;5
1.99676e-06;5
1.69128e-06;5
1.89245e-06;5
7.60704e-06;6
6.3926e-06;6
5.53578e-06;6
5.21541e-06;6
5.26011e-06;6
2.48179e-05;7
2.22772e-05;7
2.04965e-05;7
1.98409e-05;7
1.9677e-05;7
8.7738e-05;8
2.35811e-05;8
8.31708e-05;8
5.37187e-05;8
8.04737e-05;8
0.000155538;9
0.000486001;9
0.000481777;9
0.000471137;9
0.000482351;9
0.000709847;10
0.000707231;10
0.000707075;10
0.000885196;10
0.000708036;10
0.00640801;11
0.00621583;11
0.00617436;11
0.00613553;11
0.00612623;11
0.0583018;12
0.0578125;12
0.0962162;12
0.0525445;12
0.0518525;12
