blocksize;time(s);mPow_size
256;1.00769e-05;4
256;9.99868e-06;4
256;1.01216e-05;4
256;1.00359e-05;4
256;9.99495e-06;4
256;3.68431e-05;5
256;4.50574e-05;5
256;3.6981e-05;5
256;4.43496e-05;5
256;4.20958e-05;5
256;0.000143666;6
256;0.000143647;6
256;0.000143435;6
256;0.000124488;6
256;8.96193e-05;6
256;0.000579465;7
256;0.000409424;7
256;0.000565827;7
256;0.000566363;7
256;0.000549529;7
256;0.000632595;8
256;0.000720382;8
256;0.000915937;8
256;0.00126119;8
256;0.000633132;8
256;0.00282391;9
256;0.00300513;9
256;0.00289088;9
256;0.00316527;9
256;0.00317195;9
256;0.0117496;10
256;0.0117699;10
256;0.0119959;10
256;0.0120499;10
256;0.012143;10
256;0.0543261;11
256;0.0526052;11
256;0.052749;11
256;0.0527093;11
256;0.0524143;11
256;0.282925;12
256;0.276387;12
256;0.274581;12
256;0.273372;12
256;0.272848;12
