blocksize;time(s);mPow_size
256;8.08388e-07;4
256;1.09524e-06;4
256;1.03563e-06;4
256;1.017e-06;4
256;1.05426e-06;4
256;3.70294e-06;5
256;3.58373e-06;5
256;3.50177e-06;5
256;3.45707e-06;5
256;3.5055e-06;5
256;1.35712e-05;6
256;1.3385e-05;6
256;1.3344e-05;6
256;1.3344e-05;6
256;1.33887e-05;6
256;2.17445e-05;7
256;5.42589e-05;7
256;2.18116e-05;7
256;2.17669e-05;7
256;5.41545e-05;7
256;6.46785e-05;8
256;7.13319e-05;8
256;6.7044e-05;8
256;6.69509e-05;8
256;6.67199e-05;8
256;0.000532228;9
256;0.000984516;9
256;0.000930388;9
256;0.00091669;9
256;0.000765577;9
256;0.00130516;10
256;0.00190139;10
256;0.00182694;10
256;0.00157442;10
256;0.00162461;10
256;0.00802704;11
256;0.00755656;11
256;0.00932708;11
256;0.00757169;11
256;0.00769715;11
256;0.0513132;12
256;0.0498236;12
256;0.0503139;12
256;0.0488205;12
256;0.0490168;12
