blocksize;time(s);mPow_size
256;9.83477e-07;4
256;8.15839e-07;4
256;7.71135e-07;4
256;7.33882e-07;4
256;7.37607e-07;4
256;2.5779e-06;5
256;2.34321e-06;5
256;2.16439e-06;5
256;2.14949e-06;5
256;1.65775e-06;5
256;5.23403e-06;6
256;9.79751e-06;6
256;1.01477e-05;6
256;9.72673e-06;6
256;9.82732e-06;6
256;3.71598e-05;7
256;3.6478e-05;7
256;3.74652e-05;7
256;3.63663e-05;7
256;3.65861e-05;7
256;0.000140961;8
256;0.000168353;8
256;0.000148211;8
256;0.000158448;8
256;0.000148259;8
256;0.000277057;9
256;0.000735987;9
256;0.0006743;9
256;0.000784904;9
256;0.000684854;9
256;0.00113624;10
256;0.00132923;10
256;0.00158339;10
256;0.00130356;10
256;0.0015709;10
256;0.00728083;11
256;0.0066159;11
256;0.0082049;11
256;0.00706209;11
256;0.00704393;11
256;0.0511915;12
256;0.0492403;12
256;0.0489614;12
256;0.0485321;12
256;0.0482922;12
