blocksize;time(s);mPow_size
256;9.35048e-07;4
256;8.3074e-07;4
256;8.19564e-07;4
256;7.52509e-07;4
256;7.07805e-07;4
256;2.2091e-06;5
256;2.10479e-06;5
256;2.13459e-06;5
256;2.1942e-06;5
256;2.05263e-06;5
256;8.6762e-06;6
256;8.57189e-06;6
256;8.3819e-06;6
256;8.50111e-06;6
256;8.46758e-06;6
256;3.18438e-05;7
256;3.17469e-05;7
256;3.17246e-05;7
256;3.16985e-05;7
256;3.16836e-05;7
256;3.80054e-05;8
256;0.000154305;8
256;0.000145819;8
256;0.000121772;8
256;0.000132896;8
256;0.000259168;9
256;0.000766974;9
256;0.000753436;9
256;0.000777431;9
256;0.000761855;9
256;0.00117753;10
256;0.00148324;10
256;0.00171043;10
256;0.00144767;10
256;0.00180314;10
256;0.00726806;11
256;0.00702875;11
256;0.00680305;11
256;0.00665761;11
256;0.00664167;11
256;0.0524289;12
256;0.0513855;12
256;0.0501001;12
256;0.0496453;12
256;0.049534;12
