blocksize;time(s);mPow_size
256;1.8172e-05;4
256;1.01142e-05;4
256;1.00024e-05;4
256;9.85712e-06;4
256;9.77516e-06;4
256;1.04606e-05;4
256;9.98005e-06;4
256;9.91672e-06;4
256;9.90927e-06;4
256;9.83849e-06;4
256;1.05016e-05;4
256;1.00136e-05;4
256;9.95025e-06;4
256;9.83104e-06;4
256;9.93907e-06;4
256;1.06953e-05;4
256;1.01477e-05;4
256;1.00359e-05;4
256;1.00732e-05;4
256;1.00322e-05;4
256;1.07475e-05;4
256;1.01477e-05;4
256;9.96143e-06;4
256;9.89065e-06;4
256;9.96143e-06;4
256;3.74839e-05;5
256;3.68133e-05;5
256;3.67425e-05;5
256;3.68021e-05;5
256;3.6858e-05;5
256;3.14564e-05;5
256;3.70145e-05;5
256;3.68543e-05;5
256;3.06964e-05;5
256;4.43049e-05;5
256;2.89045e-05;5
256;2.84538e-05;5
256;3.71337e-05;5
256;3.67872e-05;5
256;3.68357e-05;5
256;3.79756e-05;5
256;3.74578e-05;5
256;3.72119e-05;5
256;3.72417e-05;5
256;3.71933e-05;5
256;3.7916e-05;5
256;3.74354e-05;5
256;3.71523e-05;5
256;3.74392e-05;5
256;3.75845e-05;5
256;0.000143938;6
256;0.000143442;6
256;0.000142928;6
256;0.000143047;6
256;0.000142839;6
256;0.000149865;6
256;0.000142898;6
256;0.000142623;6
256;0.000142887;6
256;0.000152886;6
256;9.58107e-05;6
256;0.000143491;6
256;0.000143092;6
256;0.000142995;6
256;0.000113938;6
256;0.000144634;6
256;0.000144131;6
256;0.000144027;6
256;7.5914e-05;6
256;0.000143945;6
256;0.000125039;6
256;0.000144284;6
256;0.000153914;6
256;0.000144273;6
256;0.000144146;6
256;0.000375886;7
256;0.000382904;7
256;0.00056335;7
256;0.000530519;7
256;0.000187829;7
256;0.000297252;7
256;0.000475783;7
256;0.000297252;7
256;0.000572577;7
256;0.000564002;7
256;0.000281144;7
256;0.000281818;7
256;0.000570469;7
256;0.000561606;7
256;0.00054168;7
256;0.000380252;7
256;0.000551332;7
256;0.000577483;7
256;0.000338845;7
256;0.000569407;7
256;0.000247329;7
256;0.000538159;7
256;0.000247505;7
256;0.000568535;7
256;0.000527434;7
256;0.000624571;8
256;0.000976156;8
256;0.000874586;8
256;0.000875104;8
256;0.00132071;8
256;0.00067424;8
256;0.000691228;8
256;0.00106994;8
256;0.00105675;8
256;0.00067028;8
256;0.000626978;8
256;0.000702124;8
256;0.00068773;8
256;0.000676855;8
256;0.000683896;8
256;0.000642125;8
256;0.00106695;8
256;0.00110981;8
256;0.00113403;8
256;0.00144894;8
256;0.000678193;8
256;0.000711799;8
256;0.00102213;8
256;0.000754289;8
256;0.000945959;8
256;0.00278918;9
256;0.00284725;9
256;0.00377741;9
256;0.00313639;9
256;0.00284743;9
256;0.00286941;9
256;0.00291181;9
256;0.00293369;9
256;0.00317604;9
256;0.00545065;9
256;0.00278767;9
256;0.00284134;9
256;0.00306172;9
256;0.00312859;9
256;0.00517351;9
256;0.00290094;9
256;0.00290335;9
256;0.00301895;9
256;0.00400662;9
256;0.00353813;9
256;0.00281253;9
256;0.00400559;9
256;0.00410338;9
256;0.00302326;9
256;0.00300762;9
256;0.0114718;10
256;0.0117858;10
256;0.0118159;10
256;0.0117475;10
256;0.0121891;10
256;0.0114571;10
256;0.011876;10
256;0.0115687;10
256;0.0118391;10
256;0.0115758;10
256;0.0114659;10
256;0.0119818;10
256;0.0118497;10
256;0.0144681;10
256;0.0122439;10
256;0.0116451;10
256;0.0116948;10
256;0.0117397;10
256;0.0123787;10
256;0.0145688;10
256;0.0117312;10
256;0.01191;10
256;0.0121309;10
256;0.0121718;10
256;0.0126117;10
256;0.0521927;11
256;0.0504355;11
256;0.0499626;11
256;0.0497916;11
256;0.0502496;11
256;0.0522151;11
256;0.0507132;11
256;0.0496792;11
256;0.0527384;11
256;0.0499523;11
256;0.0513201;11
256;0.0499584;11
256;0.0493559;11
256;0.0495724;11
256;0.0492515;11
256;0.0532423;11
256;0.0513831;11
256;0.0546022;11
256;0.050752;11
256;0.0508604;11
256;0.0532009;11
256;0.0549072;11
256;0.050894;11
256;0.0545241;11
256;0.0506456;11
256;0.257248;12
256;0.265192;12
256;0.267394;12
256;0.269927;12
256;0.279634;12
256;0.256838;12
256;0.265049;12
256;0.266325;12
256;0.267363;12
256;0.278477;12
256;0.257329;12
256;0.265808;12
256;0.267186;12
256;0.268217;12
256;0.280073;12
256;0.259863;12
256;0.268327;12
256;0.26954;12
256;0.270437;12
256;0.282924;12
256;0.261373;12
256;0.269814;12
256;0.271402;12
256;0.271748;12
256;0.284894;12
